id,condominio_id,numero,nombre,responsable,rut,contacto,created_at,deuda_historica
"9a7a1737-4d0a-46ff-abeb-6faa7aa89a28","2783a53c-d84a-4cb0-b17a-999943a335f5","18","Parcela 18","","","","2026-08-13T23:12:59.330882+00:00","0"
"5e020e67-bf05-442f-b2ad-647c42e4c209","2783a53c-d84a-4cb0-b17a-999943a335f5","37","Parcela 37","","","","2026-08-13T23:12:59.330882+00:00","1230000"
"30bc78ed-7346-4bf8-959a-3934be17ed44","2783a53c-d84a-4cb0-b17a-999943a335f5","10","Parcela 10","","","","2026-08-13T23:12:59.330882+00:00","0"
"15f8b34c-5d82-488d-a209-cbc6dcdb25d4","2783a53c-d84a-4cb0-b17a-999943a335f5","12","Parcela 12","","","","2026-08-13T23:12:59.330882+00:00","0"
"a67e5fe0-1f5e-42da-a5b4-b255ead495cf","2783a53c-d84a-4cb0-b17a-999943a335f5","14","Parcela 14","","","","2026-08-13T23:12:59.330882+00:00","0"
"93183a81-9fba-454f-9e0c-20c9e774d404","2783a53c-d84a-4cb0-b17a-999943a335f5","27","Parcela 27","","","","2026-08-13T23:12:59.330882+00:00","30000"
"5b219614-3678-4f4f-9ac8-44270d871475","2783a53c-d84a-4cb0-b17a-999943a335f5","29","Parcela 29","","","","2026-08-13T23:12:59.330882+00:00","1020000"
"7dd1909e-06cf-49a7-bf90-f6ab182bd6d8","2783a53c-d84a-4cb0-b17a-999943a335f5","30","Parcela 30","","","","2026-08-13T23:12:59.330882+00:00","1230000"
"bcfa57b4-1c39-4f20-8d47-5c89e23e50ea","2783a53c-d84a-4cb0-b17a-999943a335f5","25","Parcela 25","","","","2026-08-13T23:12:59.330882+00:00","210000"
"ed3908f5-6d4d-41fc-81d3-7ff598f3baed","2783a53c-d84a-4cb0-b17a-999943a335f5","26","Parcela 26","","","","2026-08-13T23:12:59.330882+00:00","270000"
"fbd835c7-fed6-40e0-8321-2a55adb3c738","2783a53c-d84a-4cb0-b17a-999943a335f5","2","Parcela 2","","","","2026-08-13T23:12:59.330882+00:00","240000"
"ef8cfe68-29b4-402f-b141-5e15c94d252d","2783a53c-d84a-4cb0-b17a-999943a335f5","3","Parcela 3","","","","2026-08-13T23:12:59.330882+00:00","85041"
"067e8ac4-d357-425a-b8c3-0a87ac96761b","2783a53c-d84a-4cb0-b17a-999943a335f5","4","Parcela 4","","","","2026-08-13T23:12:59.330882+00:00","30000"
"b4b75898-32a0-4e52-8649-b0be328e6634","2783a53c-d84a-4cb0-b17a-999943a335f5","5","Parcela 5","","","","2026-08-13T23:12:59.330882+00:00","1230000"
"f40a1be0-039b-48e2-89ca-f1eed506211d","2783a53c-d84a-4cb0-b17a-999943a335f5","6","Parcela 6","","","","2026-08-13T23:12:59.330882+00:00","1230000"
"a82b703f-9adc-4aa6-8401-5ce3c1165361","2783a53c-d84a-4cb0-b17a-999943a335f5","7","Parcela 7","","","","2026-08-13T23:12:59.330882+00:00","278581"
"a89ba7e5-bc9a-4968-b532-025ec4d3db4a","2783a53c-d84a-4cb0-b17a-999943a335f5","9","Parcela 9","","","","2026-08-13T23:12:59.330882+00:00","270000"
